menu_item_id,menu_id,name,description,price
1,2,Outdoor Picnic Blanket,Water-resistant blanket for picnics and outdoor events.,34.99
2,18,Solar Charger,Portable solar charger for outdoor adventures.,39.99
3,19,Chic Ankle Strap Heels,Stylish ankle strap heels for a classy look at any event.,69.99
4,55,Frozen Mixed Vegetables,"A mix of carrots, peas, and corn, easy to stir-fry.",1.99
5,3,Cabbage,"Fresh green cabbage, great for salads and slaws.",1.29
6,97,Fruit and Nut Bars,Individually packaged bars made with dried fruits and nuts.,1.99
7,51,Interactive Robot Toy,Fun robot that engages kids with games and activities.,34.99
8,15,Artisan Bread,"Freshly baked artisan bread, perfect for sandwiches or toasting.",4.59
9,4,Bamboo Cutting Board,Eco-friendly bamboo cutting board for food prep.,22
10,53,Cranberry Almond Cookies,Delicious cookies with cranberries and almonds in every bite.,4.29
11,91,Sweet Potato and Chickpea Bowl,A nourishing bowl of sweet potatoes and chickpeas with spices.,6.49
12,94,Organic Coconut Water,Refreshing coconut water packed with electrolytes for hydration.,2.79
13,45,Eco-Friendly Notepad,Notepad made from recycled paper for sustainable note-taking.,8.99
14,25,Watercolor Set,Complete watercolor set with paints and brushes.,19.99
15,59,Sliced Bread,"Soft and fresh sliced bread, perfect for sandwiches.",2.99
16,94,Cocoa Powder,Rich cocoa powder for baking and chocolate recipes.,3.99
17,58,Smart Wi-Fi Light Bulbs,Energy-efficient LED bulbs that can be controlled via smartphone.,19.99
18,9,High-Quality Yoga Mat,Non-slip mat designed for yoga and fitness exercises.,34.99
19,29,Elegant Maxi Skirt,Float through the day in this beautiful floor-length skirt.,44.99
20,94,Frozen Berry Blend,A mix of frozen berries for smoothies or desserts,4.99
21,66,DIY Candle Kit,Everything you need to make your own scented candles at home.,34.99
22,1,Lentil Vegetable Stew,"Hearty stew made with lentils and mixed vegetables, vegan-friendly.",4.49
23,21,Salt and Pepper Grinder Set,Adjustable grinders for fresh spices at the table.,19.99
24,53,Cauliflower Gnocchi,"Soft and pillowy gnocchi made from cauliflower, perfect with sauce.",3.59
25,3,Pineapple Rings,Delicious canned pineapple rings for desserts or salads.,2.49
26,79,Savory Quinoa Pudding,"A delicious savory quinoa pudding, great as a side dish.",2.99
27,85,Lemon Herb Chicken,Marinated chicken grilled with lemon and herbs.,7.49
28,82,Garden Tool Set,Complete set of gardening tools for all your needs.,34.99
29,92,Dog Training Whistle,High-frequency whistle for training your dog effectively.,8.99
30,29,Sweet Corn Fritters,Golden-brown fritters made with sweet corn.,4.49
31,69,Rustic Italian Bread,"Freshly baked rustic bread, perfect for sandwiches or dipping in olive oil.",3.59
32,28,Wireless Earbuds,True wireless earbuds with touch control.,69.99
33,32,Chocolate Raspberry Tart,"Rich tart filled with chocolate and raspberry, a gourmet dessert.",9.99
